Price,Adj Close,Close,High,Low,Open,Volume,Company,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,META,META,META,META,META,META,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,INTC,INTC,INTC,INTC,INTC,INTC
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-12-2014,25.62543678,28.76749992,29.8125,27.81749916,29.70249939,335256000,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-12-2014,25.52745438,28.65749931,28.9375,28.1875,28.375,237395600,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-12-2014,25.81695366,28.98250008,29.08749962,28.77750015,28.9375,172253600,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-12-2014,25.71897316,28.87249947,29.29999924,28.82250023,28.94249916,168178000,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-12-2014,25.60984993,28.75,29.02000046,28.65999985,28.99749947,153275600,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-12-2014,25.03084373,28.10000038,28.66250038,27.90500069,28.52499962,230659600,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-12-2014,25.41387367,28.53000069,28.57500076,27.33749962,27.54750061,240832000,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-12-2014,24.93062401,27.98749924,28.71249962,27.88500023,28.60250092,178261200,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-12-2014,24.85713768,27.90500069,28.45000076,27.83499908,28.06500053,165606800,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-12-2014,24.43625069,27.43250084,27.96750069,27.39500046,27.61499977,224112400,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-12-2014,24.102211,27.05750084,27.89999962,26.58749962,27.67499924,268872400,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-12-2014,23.77261734,26.6875,27.54000092,26.56500053,26.59250069,243162800,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-12-2014,24.36499405,27.35250092,27.45999908,26.70499992,26.78000069,213647200,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-12-2014,25.08651352,28.16250038,28.16250038,27.66500092,27.96750069,236024800,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-12-2014,24.89277267,27.94499969,28.30999947,27.91500092,28.06500053,353719200,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-12-2014,25.15110016,28.23500061,28.37249947,27.99250031,28.04000092,180670000,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-12-2014,25.06202126,28.13500023,28.33250046,28.11499977,28.30750084,104113600,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-12-2014,24.94399261,28.00250053,28.17749977,28.00250053,28.14500046,57918400,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-12-2014,25.38493347,28.49749947,28.62999916,28.00250053,28.02499962,134884000,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-12-2014,25.36711311,28.47750092,28.69249916,28.42499924,28.44750023,110395600,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-12-2014,25.05756378,28.12999916,28.47999954,28.02750015,28.40999985,119526000,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-12-2014,24.58099937,27.59499931,28.28249931,27.55249977,28.20499992,165613600,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2015,24.34717369,27.33250046,27.86000061,26.83749962,27.84749985,212818400,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-01-2015,23.66128159,26.5625,27.16250038,26.35250092,27.07250023,257142000,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-01-2015,23.66349602,26.56500053,26.85750008,26.15749931,26.63500023,263188400,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-01-2015,23.99531746,26.9375,27.04999924,26.67499924,26.79999924,160423600,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-01-2015,24.91727066,27.97249985,28.03750038,27.17499924,27.30750084,237458000,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-01-2015,24.94399261,28.00250053,28.3125,27.55249977,28.16749954,214798000,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2015,24.32935715,27.3125,28.15749931,27.20000076,28.14999962,198603200,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2015,24.54537201,27.55500031,28.20000076,27.22750092,27.85750008,268367600,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-01-2015,24.45183563,27.45000076,27.62249947,27.125,27.26000023,195826400,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-01-2015,23.78821182,26.70499992,27.51499939,26.66500092,27.5,240056000,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-01-2015,23.60336876,26.49749947,26.89500046,26.29999924,26.75749969,314053200,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-01-2015,24.21133614,27.18000031,27.24250031,26.625,26.95999908,199599600,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-01-2015,24.39616966,27.38750076,27.76499939,27.06749916,27.23749924,194303600,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-01-2015,25.03084373,28.10000038,28.11750031,27.43000031,27.56500053,215185600,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-01-2015,25.16000748,28.24500084,28.4375,27.88249969,28.07500076,185859200,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-01-2015,25.18672371,28.27499962,28.59000015,28.20000076,28.43499947,222460000,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-01-2015,24.30485916,27.28499985,28.12000084,27.25749969,28.10499954,382274800,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-01-2015,25.67887497,28.82749939,29.53000069,28.82749939,29.40749931,585908400,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-01-2015,26.4783535,29.72500038,29.79750061,28.88999939,29.07999992,337745600,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
